info_desc,job_name,money,name,tags
年终奖，带薪年假，五险一金，节日福利，员工旅游，定期体检，补充医疗保险,大数据运维工程师,6-11K,浪潮软件集团,大数据运维
带薪年假，餐补，节日福利，员工旅游，年终奖，五险一金，股票期权,IT项目经理,10-15K,天元,服务器配置需求分析评估智慧城市管理系统
带薪寒暑假，包吃，五险一金，年终奖，员工旅游,后端软件开发工程师,8-12K,山东纳博士连锁超市,Spring云计算Web端PythonJava
零食下午茶，项目奖金，定期体检，产品奖金，加班补助，项目提成，员工旅游，年终奖，五险一金，节日福利,爬虫开发工程师,5-8K,沃奇智能,爬虫工程师网络爬虫技术搜索引擎技术ScrapyPyspider大数据Python人工智能
定期体检，带薪年假，加班补助，节日福利，免费班车，五险一金，餐补，交通补助,前端开发工程师,10-15K,科大国创云网,前端开发HTML5Vue
节日福利，年终奖，通讯补贴，股票期权，免费班车，五险一金，带薪年假，餐补,中间件运维SRE,6-11K,特锐德特来电,KafkaRabbitMQRedisNginxInfluxDBGrafanaSREDocker
五险一金，全勤奖，节日福利，员工旅游，年终奖，带薪年假，餐补，通讯补贴，交通补助,python开发工程师,8-13K,中远物联,PythonShell
五险一金，节日福利，零食下午茶，带薪年假，股票期权，定期体检，加班补助，年终奖,项目经理,10-15K,天元,IT服务需求分析评估软件实施
定期体检，年终奖，交通补助，零食下午茶，免费班车，节日福利，员工旅游，带薪年假，住房补贴，五险一金,数据运营（五险一金+双休）,4-8K,山东开创集团,BI商业分析PythonSQL数据分析
住房补贴，五险一金，带薪年假，定期体检，员工旅游，节日福利，通讯补贴，加班补助，免费班车，年终奖,人工智能算法工程师,10-11K,济南圣泉集团,网络运维AI系统人工智能算法网络工程师证
节日福利，五险一金，住房补贴，带薪年假，年终奖，加班补助，定期体检，餐补,Python开发工程师,8-13K,汇信纳杰云财税,分布式技术网络爬虫技术多线程多进程NoSQLMongoDBMySQLSQL Server
五险，节日福利，全勤奖，办公环境，公司氛围，交通补助，带薪年假，零食,Python开发,6-10K,奥诺启达,PythonJavaCSS
节日福利，父母津贴，住房补贴，生日红包，全勤奖，婚嫁红包，通讯补贴，带薪年假，交通补助，零食下午茶，五险一金，餐补,Python开发工程师,9-14K,爱国小男孩,PythonJavaPHP数据结构网络编程Django后端开发Python工程师
交通补助，午睡椅，节日福利，带薪年假，股票期权，全勤奖，员工旅游，通讯补贴，年终奖，双休，极客分享，餐补，定期体检，团建活动，加班补助，弹性工作，五险一金,Python开发工程师,7-10K,泽鹿安全,LinuxdockerPython工程师容器技术
五险一金，员工旅游，带薪年假，住房补贴，节日福利，零食下午茶,交易算法研究员,15-20K,文财私募,LinuxC++Python
五险一金，员工旅游，带薪年假，住房补贴，节日福利，零食下午茶,交易算法研究员,15-20K,文财私募,LinuxC++Python
五险，五险，节日福利，阶段性奖励，全勤奖，零食下午茶，广州五休二，带薪年假，员工旅游，北京五休二l,推荐算法工程师（双休）,11-17K,大鹏教育,深度学习算法自然语言处理算法设计机器学习算法Python分布式技术数据挖掘Spark
员工旅游，五险一金，加班补助，带薪年假，节日福利，定期体检,软件工程师,10-15K,派蒙,C/C++Python系统架构
五险一金,Python开发工程师,5-6K,山东盈融,架构师软件工程师PythonJavaScript
节日福利，股票期权，通讯补贴，交通补助，带薪年假，五险一金，零食下午茶，餐补，补充医疗保险，年终奖，定期体检,物联网安全研究员,13-22K·14薪,奇安信集团,运维安全运维移动端
交通补助，节日福利，年终奖，五险一金，带薪年假，通讯补贴，定期体检，住房补贴,Python开发工程师,7-10K,中移智能,Python人工智能机器人计算机软件机器学习TensorFlowkeras
,web后端开发工程师,8-12K,天睿空间,SQL图形图像处理UnixRedisPostgreSQLMySQLDjangoFlask
五险一金，员工旅游，年终奖，节日福利，定期体检，项目奖，带薪年假，零食下午茶,深度学习算法工程师,12-24K,中维世纪,深度学习算法视觉图像算法人脸识别CaffeTensorFlowPyTorchC语言
员工餐厅，节日福利，学习平台系统，企业大学，五险一金,算法工程师,10-15K,世纪开元,人工智能数据分析机器学习
五险一金，定期体检，年终奖，带薪年假,Python,7-10K·13薪,山东思域信息科技,容器技术
十三薪，零食下午茶，带薪年假，加班补助，交通补助，员工旅游，五险一金，餐补，定期体检，节日福利，年终奖,Python青少儿编程老师,4-9K,傲梦网络科技,PythonJavaScript在线教育少儿编程
补充医疗保险，五险一金，节日福利，员工旅游，年终奖，股票期权,python研发+讲师,8-9K,闪亮教育集团,pythonjavaJavaScriptcsshtml
通讯补贴，带薪年假，零食下午茶，交通补助，五险一金，年终奖,Python研发工程师(济南),9-14K,深圳浪潮早上班,PythonShell
节日福利，股票期权，补充医疗保险，带薪年假，全勤奖，五险一金,Python,8-13K,池源科技,计算机软件
定期体检，年终奖，五险一金，节日福利，全勤奖，交通补助，加班补助，股票期权,Python,5-10K,山东贝赛信息科技,Python
年终奖，提供住宿，节日福利，通讯补贴，股票期权，全勤奖，加班补助，员工旅游，五险一金,Python老师,6-11K,瓦特机器人俱乐部,教师全职K12教育PythonC语言Java
员工旅游，包吃，股票期权，年终奖，餐补，带薪年假，加班补助，补充医疗保险，定期体检，交通补助，节日福利，五险一金，通讯补贴，零食下午茶,Python开发工程师,11-17K·15薪,浪潮集团,DjangoFlaskTornadopython
员工旅游，股票期权，节日福利，全勤奖，带薪年假，通讯补贴，加班补助，年终奖，零食下午茶，五险一金，补充医疗保险，交通补助，定期体检,软件研发,6-9K,浪潮云ERP,Python
节日福利，免费班车，通讯补贴，定期体检，补充医疗保险，带薪年假，五险一金，年终奖,Java后端开发及mysql数据处理(实习),120-150元/天,亚信科技,SQLJavaCRMOracleMySQLPython
五险一金，年终奖，交通补助，员工旅游，零食下午茶，通讯补贴，定期体检，节日福利，带薪年假，餐补，股票期权，购房无息贷款，补充医疗保险,软件测试工程师(智能边端类),8-13K,浙江宇视科技,PythonLinux功能测试
节日福利，零食下午茶，带薪年假，员工旅游，年终奖，五险一金，定期体检，餐补,数据分析（校招）(J19617),8-10K,济南新东方学校,PythonR语言SPSS
节日福利，带薪年假，定期体检，五险一金，加班补助，股票期权，零食下午茶，餐补,少儿编程讲师 五险一金双休 就近安排,7-10K,童程童美青少儿编程,Python编程讲师java培训
定期体检，补充医疗保险，五险一金,商业分析,10-15K·13薪,滴滴,电子商务商业分析行业数据分析PythonSQLR语言数据分析
带薪年假，员工旅游,后端开发,4-6K,济南妙音,后端开发数据分析PC端
带薪年假，餐补，节日福利，补充医疗保险，五险一金，年终奖，定期体检，免费班车,运维工程师,6-10K·13薪,航天神舟软件,运维数据库运维SQL项目实施
餐补，五险一金，通讯补贴，住房补贴，补充医疗保险，带薪年假，定期体检,运维开发工程师,9-14K,北京电旗,LinuxPythonSQL服务器配置网络协议NginxTomcatMySQL
五险一金，定期体检，年终奖，股票期权，员工旅游，带薪年假，住房补贴，节日福利,前端研发工程师,7-12K·14薪,中孚信息,前端开发HTMLCSSLessSassReact网络协议
五险一金，员工旅游，带薪年假，定期体检，补充医疗保险，交通补助，节日福利，通讯补贴，加班补助，年终奖，餐补,渗透测试工程师,8-13K·13薪,赛尔网络,安全测试web端测试网络安全PythonPHP漏洞挖掘外网渗透信息安全
,深度学习/计算机视觉工程师,11-20K,智洋创新,深度学习算法视觉图像算法
交通补助，股票期权，餐补，五险一金，定期体检，节日福利，通讯补贴，补充医疗保险，带薪年假，年终奖,存储软件开发工程师,12-20K·15薪,浪潮信息,C++ShellPerlPython嵌入式技术Linux软件工程师
交通补助，股票期权，餐补，五险一金，定期体检，节日福利，通讯补贴，补充医疗保险，带薪年假，年终奖,存储软件开发工程师,12-20K·15薪,浪潮信息,C++ShellPerlPython嵌入式技术Linux软件工程师
加班补助，全勤奖，零食下午茶，五险一金，团建活动,Python开发工程师,9-14K,皇利电子商务,PythonPython工程师数据挖掘网络爬虫技术大数据数据分析容器技术爬虫工程师
员工旅游，定期体检，节日福利，餐补，带薪年假，五险一金，加班补助,Python开发工程师,6-10K·13薪,源鲁,服务器配置网络爬虫技术FlaskDjangoTornadoPython工程师PythonShell
定期体检，员工旅游，五险一金，年终奖，节日福利，带薪年假，加班补助，全勤奖，零食下午茶,Python开发工程师,5-9K,可达鸭教育,Python人工智能
五险一金，带薪年假，节日福利，通讯补贴，年终奖，零食下午茶,初级开发人员（双休+五险一金+年假）,6-9K,海联讯,MySQL机器人软件实施网络爬虫技术实施工程师/顾问
带薪年假，节日福利，五险一金，员工旅游，年终奖，股票期权，定期体检,大数据讲师,10-13K,慧科集团,JavaScala分布式技术RedisNoSQLMongoDBOraclePython
五险一金，餐补，带薪年假，年终奖，零食下午茶，定期体检，交通补助,技术开发（实施）工程师,7-10K,拓锐科技,Python
员工旅游，五险一金，定期体检，带薪年假，年终奖，补充医疗保险，节日福利,数据分析挖掘工程师,6-11K,浪潮软件集团,PythonJavaSQLSpark大数据网络安全
带薪年假，定期体检，五险一金，员工旅游，餐补，通讯补贴，交通补助，节日福利,算法工程师,12-23K,特来电,深度学习算法机器学习推荐算法
带薪年假，五险一金，员工旅游，全勤奖，定期体检，零食下午茶，加班补助,高级Python开发工程师,12-20K,元朗教育,网络爬虫技术算法基础RedisDjango大数据SaaS
节日福利，员工旅游，年终奖，带薪年假，定期体检，五险一金，餐补，通讯补贴,python开发工程师,4-9K·14薪,云大网络,PythonMySQL
五险一金，全勤奖，年终奖，13薪资+奖，员工旅游，补充医疗保险，定期体检，加班补助，住房补贴，带薪年假，股票期权，节日福利,大数据工程师,8-12K,山东炫火,Java分布式技术网络爬虫技术RedisNoSQLMongoDB架构师
年终奖，五险一金，补充医疗保险，定期体检，交通补助，节日福利，餐补，加班补助，13～15薪,图像算法工程师,13-25K·14薪,济南信通达,深度学习算法视觉图像算法PythonC++ShellTensorFlowCaffePyTorch
,python编程人员,5-10K,载信物流,SQL
年终奖，餐补，全勤奖，交通补助，股票期权，带薪年假，节日福利，通讯补贴，五险一金,AI算法工程师,20-30K,神思电子技术股份...,算法时间序列模式识别
餐补，员工旅游，带薪年假，包吃，住房补贴，年终奖，五险一金，定期体检,算法工程师,11-20K·13薪,产研,视觉图像算法算法设计深度学习算法Python算法基础人工智能图像挖掘
五险，员工旅游，全勤奖，带薪年假，广州五休二，零食下午茶，五险，阶段性奖励，节日福利，北京五休二l,推荐算法工程师（双休）,11-17K,大鹏教育,深度学习算法算法设计推荐算法自然语言处理Python分布式技术数据挖掘Hadoop
零食下午茶，员工旅游，定期体检，五险一金，通讯补贴，带薪年假，年终奖，股票期权，节日福利,嵌入式工程师（济南）,8-13K,力信测量,PythonCSSHTML
节日福利，年终奖，员工旅游，定期体检，股票期权，带薪年假，五险一金,网络安全经理,15-25K,恒安嘉新,安全设备Python信息安全渗透测试
年终奖，加班补助，员工旅游，节日福利，定期体检，项目提成，产品奖金，项目奖金，五险一金，零食下午茶,爬虫工程师,5-8K,沃奇智能,python爬虫爬虫工程师网络爬虫
,软件开发工程师,7-12K,三木众合科技,PythonPython工程师爬虫工程师Python算法工程师网络爬虫技术搜索引擎技术数据挖掘
,odoo开发工程师,8-13K,方寸物造,数据库pythonLinux
五险一金,Python开发工程师,4-7K,山东盈融,PythonHadoop大数据人工智能深度学习算法Python算法工程师Python工程师爬虫工程师
年终奖，带薪年假，五险一金，定期体检,Python/Go开 发工程师,8-10K·13薪,山东思域信息科技,容器技术
补充医疗保险，员工旅游，节日福利，股票期权，五险一金，年终奖,python老师,8-10K,闪亮教育集团,Python
零食下午茶，通讯补贴，带薪年假，交通补助，年终奖，五险一金,python后端研发工程师,7-11K·13薪,深圳浪潮早上班,PythonHTML/CSSJavascript
五险一金，定期体检，交通补助，年终奖，股票期权，带薪年假，员工旅游，节日福利，通讯补贴，全勤奖，加班补助，补充医疗保险，零食下午茶,Python开发工程师（HCM）-济南,8-13K·14薪,浪潮云ERP,Java服务器配置LinuxUnixRedisOracleSQL ServerDjango
补充医疗保险，五险一金，通讯补贴，免费班车，带薪年假，定期体检，年终奖，节日福利,运维工程师,8-13K·13薪,亚信科技,运维运维工程师系统运维
